nombres|codigo|tardanzas|inasistencias|sueldo_base|porcentaje_comision|descuentoxinasistencia|descuentoxtardanza|total_ventas|descuento_inasistencia|descuento_tardanza|total_sueldo|comision
Serena, Sylvia, Tyler, Hamilton|91412|8|2|999|10|10|5|23655|58|90|878|54
Cheyenne, Julian, Shana, Bruce|64376|8|6|1059|12|10|5|32896|59|58|1035|287
Herman, Susan, Blaine, Venus|32766|8|7|1100|11|10|5|13558|91|80|1382|708
Fletcher, Hayden, Randall, Rooney|58348|4|4|1105|10|10|5|23261|90|50|1657|983
Tobias, Wallace, Aaron, Guinevere|54021|5|9|1078|10|10|5|38850|47|70|1363|853
Cheyenne, Lila, Hanae, Michael|90829|6|7|1023|12|10|5|24088|28|89|1398|954
Stacy, Dominic, Astra, Dustin|44274|8|7|1195|10|10|5|35127|84|52|1387|267
Evelyn, Dale, Samantha, Leonard|01921|7|3|1122|12|10|5|25211|49|6|1357|692
Xaviera, Gannon, Kylie, Chandler|61257|5|3|1100|11|10|5|38358|67|68|1374|114
Carol, Len, Patricia, Clinton|74813|10|4|1021|12|10|5|23424|9|52|1225|389
Regan, Philip, Wayne, Charity|39633|4|6|1071|11|10|5|28102|63|41|885|206
Camilla, Reese, Amy, Tanner|49210|6|2|901|11|10|5|37163|64|50|1762|2
William, Alfonso, Xandra, Ryan|96911|3|8|1154|12|10|5|22132|79|21|1304|1161
Paki, Kiara, Dominique, Leandra|45311|9|3|1128|12|10|5|31320|57|82|1137|45
Carlos, Fay, Maggie, Uriel|49302|9|9|1087|12|10|5|39554|98|99|1383|728
Desirae, Nevada, Allegra, Elton|61934|9|9|991|10|10|5|17753|67|8|1646|133
Cora, Troy, Jorden, Thaddeus|24392|6|8|953|11|10|5|14019|44|71|1693|1075
Aurelia, Duncan, Nehru, Deborah|57099|6|2|1113|10|10|5|31495|8|98|1780|1161
Frances, Preston, Abigail, Colleen|63421|10|4|1040|12|10|5|39488|28|52|1069|88
Gisela, TaShya, August, Penelope|41781|5|4|1093|12|10|5|17615|43|76|1615|351
Velma, Eve, Sara, Armand|10326|5|9|936|12|10|5|31521|59|74|1203|290
Nissim, Laith, Dakota, Jarrod|83439|9|6|1147|11|10|5|33782|74|74|1574|103
Robert, Colby, Uta, Leandra|96522|7|6|928|10|10|5|26740|49|7|1435|453
Jessamine, Ruby, Brianna, Declan|76147|3|8|1105|11|10|5|31646|49|50|1447|769
Calvin, Ulysses, Carter, Yoshi|81668|5|7|977|12|10|5|12450|61|1|1482|659
Nevada, Nolan, Kevin, Ginger|27522|9|4|1115|12|10|5|13667|87|65|1034|636
Jarrod, Carlos, MacKensie, Carson|02813|2|3|1164|11|10|5|28720|9|21|1306|585
Mercedes, Tamekah, Colby, Dai|90084|10|5|1049|10|10|5|34005|40|43|1492|159
Lani, Dieter, Alec, Rae|32563|8|2|1001|11|10|5|39864|59|77|1249|135
Lois, Keelie, Wanda, Jelani|13508|3|7|1123|11|10|5|30696|26|24|1132|6
Quintessa, Fitzgerald, Zorita, Stone|94427|3|6|920|10|10|5|38821|69|97|960|916
Sydney, Pearl, Haley, Penelope|82919|7|9|965|11|10|5|31156|66|79|1333|56
Burton, Kimberly, Violet, Lionel|51422|10|8|1054|12|10|5|22683|53|4|1132|963
Vladimir, Myles, Len, Wade|68741|4|9|1158|11|10|5|26885|19|76|1395|569
Tana, Sigourney, Curran, Kirk|62377|6|8|1152|11|10|5|27444|51|17|1651|749
Marcia, Jasmine, Dorothy, Camille|09900|10|4|1172|10|10|5|34538|81|23|1188|206
Hollee, Jermaine, Bradley, Xander|18456|6|7|1081|12|10|5|28344|2|92|1128|86
Rigel, Azalia, Hermione, Jenette|93302|10|3|978|11|10|5|26376|95|34|864|33
Blake, Freya, Xander, Sylvia|34431|5|8|1106|12|10|5|24078|13|93|1787|1133
Oleg, Damon, Davis, Lillian|05424|3|6|939|11|10|5|37925|38|32|1094|278
Gay, Isaiah, Karly, Aphrodite|33589|6|4|994|11|10|5|20561|99|68|1396|1152
Alfreda, Dominic, Lacy, Iona|77109|9|6|998|12|10|5|16365|48|13|1306|168
Rhonda, Lunea, Doris, Beck|31739|8|4|1114|11|10|5|15931|53|4|1492|419
Hamilton, Harding, Kay, Xantha|54236|3|8|950|10|10|5|32206|25|8|948|964
Hayley, Edan, Steel, Adam|31142|3|9|924|11|10|5|28592|3|79|1364|106
Tanisha, Yuri, Isabella, Ifeoma|55236|10|3|909|10|10|5|30313|31|34|1451|240
Kennedy, Leah, Garth, Moana|67187|10|6|1149|10|10|5|27346|81|76|1145|982
Maia, Tucker, Kimberley, Amity|56179|9|9|1118|12|10|5|34409|74|67|1636|19
Brennan, Shelley, Morgan, Iris|68349|6|10|1062|10|10|5|17476|76|74|1352|432
Palmer, Eagan, Philip, Sopoline|02867|6|3|1033|10|10|5|28542|57|66|1072|111
Plato, Preston, Abigail, Adrienne|21123|8|7|958|12|10|5|24872|56|99|921|494
Emmanuel, Kameko, Fitzgerald, Tamara|84271|4|4|1152|11|10|5|12521|5|20|1645|503
Ann, Isabelle, Colin, Candace|53409|10|3|1075|10|10|5|37424|85|58|1018|287
Nell, Hedda, Jerry, Christen|48301|2|5|1115|11|10|5|20266|50|73|1135|177
Aladdin, Dakota, Sloane, Kenyon|26573|2|9|1101|11|10|5|20845|76|65|1134|976
Kimberley, Amaya, Inez, Carly|20439|7|8|991|10|10|5|29331|57|3|1792|975
Francis, Amena, Reed, Jordan|93750|10|8|1051|12|10|5|27673|56|13|1102|59
Lewis, Reese, Macy, Anne|35750|9|2|1191|12|10|5|38805|66|19|1315|1162
Rigel, Quon, Armand, Ayanna|29184|9|10|1035|10|10|5|26154|58|82|1169|17
Zachery, Eagan, Amy, Doris|50487|6|5|900|12|10|5|20217|97|1|1491|1188
Addison, Stephanie, Clementine, Ira|38118|8|4|1003|12|10|5|19336|78|29|1666|973
Nigel, Quyn, Chandler, Arsenio|77907|7|6|1156|10|10|5|39414|33|49|1423|63
Reese, Tanner, Barbara, Lars|02404|3|7|1006|10|10|5|17478|63|60|1134|187
Aretha, Hector, Jared, Oren|97174|10|4|1138|10|10|5|20395|1|87|1337|383
Kim, Dolan, Morgan, Brynn|21864|2|3|999|10|10|5|15922|72|90|1780|722
Camden, Fay, Hilel, Lucian|78895|4|9|943|10|10|5|23369|23|72|1162|824
Christine, Kelsie, Clayton, Buffy|38445|5|3|1023|10|10|5|27228|57|10|1516|1058
Urielle, Fredericka, Chava, Jeanette|23062|5|4|971|11|10|5|16349|75|40|1278|688
Medge, Addison, Shoshana, Jane|44988|7|2|1053|10|10|5|13951|30|57|1436|876
Ivana, Helen, Hasad, Amena|47824|4|6|1002|10|10|5|15505|55|80|1638|97
April, Jameson, Olga, Ryder|56408|2|3|931|12|10|5|31175|84|40|1029|845
Kaden, Lenore, Phyllis, Simon|13966|7|3|902|11|10|5|14982|30|12|1046|697
Thaddeus, April, Stone, Germaine|41269|3|5|1100|12|10|5|33070|55|92|1787|732
Indigo, Rigel, Halla, Portia|95381|2|9|954|11|10|5|18308|67|84|1348|548
Lacey, Zachery, Andrew, Jermaine|92883|3|2|1156|12|10|5|14596|82|40|1173|1080
Bernard, Serena, Martina, Addison|31673|5|7|1042|11|10|5|31887|69|50|1609|686
Willa, Gavin, Meghan, Ulysses|09589|10|8|1141|10|10|5|30315|49|71|1576|272
